"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2022","129.4827","124.3222","136.0226","123.1434","","4.08%"
"03/01/2022","124.4109","115.4162","140.5769","115.3097","","8.61%"
"02/01/2022","114.5522","108.0918","119.7370","107.6310","","6.20%"
"01/01/2022","107.8627","99.4379","108.7583","98.7984","","8.77%"
"12/01/2021","99.1694","96.5033","101.0889","94.1663","","3.52%"
"11/01/2021","95.7976","103.3985","104.6200","95.2987","","-7.31%"
"10/01/2021","103.3578","100.8052","106.2633","100.1368","","2.58%"
"09/01/2021","100.7581","95.9818","102.3457","95.0640","","4.97%"
"08/01/2021","95.9859","96.0289","96.8091","91.1000","","-0.30%"
"07/01/2021","96.2754","94.6492","97.5418","91.6930","","1.83%"
"06/01/2021","94.5412","93.7626","95.5574","89.9227","","1.85%"
"05/01/2021","92.8252","90.8814","94.5928","90.4104","","2.73%"
"04/01/2021","90.3610","83.6296","90.9590","82.7085","","8.29%"
"03/01/2021","83.4445","86.1165","86.8512","82.5144","","-2.15%"
"02/01/2021","85.2778","81.0713","88.1229","80.8252","","6.47%"
"01/01/2021","80.0981","79.2856","81.3453","78.2908","","2.62%"
"12/01/2020","78.0543","74.7273","78.0623","73.1705","","4.97%"
"11/01/2020","74.3612","71.5293","75.0981","71.2137","","3.50%"
"10/01/2020","71.8436","71.0710","74.5427","69.2179","","1.40%"
"09/01/2020","70.8516","73.4975","73.9694","69.5005","","-3.36%"
"08/01/2020","73.3150","68.8126","73.6435","68.7076","","6.75%"
"07/01/2020","68.6767","65.1165","69.0956","64.6948","","5.70%"
"06/01/2020","64.9762","63.5627","65.1512","62.6745","","2.27%"
"05/01/2020","63.5353","60.7592","63.8842","60.1883","","4.33%"
"04/01/2020","60.8983","61.6785","64.4111","58.8710","","-1.55%"
"03/01/2020","61.8577","72.0985","73.9052","59.0877","","-12.85%"
"02/01/2020","70.9799","74.8416","76.7087","70.6124","","-5.15%"
"01/01/2020","74.8374","81.0158","82.2009","74.7505","","-7.48%"
"12/01/2019","80.8871","77.5047","81.6796","77.0550","","4.90%"
"11/01/2019","77.1108","79.2898","80.9663","77.0772","","-2.68%"
"10/01/2019","79.2367","77.8528","79.8538","77.0414","","1.87%"
"09/01/2019","77.7797","77.0331","81.4445","76.4039","","1.01%"
"08/01/2019","77.0044","78.5229","78.5793","75.6843","","-2.48%"
"07/01/2019","78.9631","80.0299","81.1799","78.0445","","-0.87%"
"06/01/2019","79.6530","77.6102","80.5940","76.3485","","2.51%"
"05/01/2019","77.7043","80.5345","80.5922","77.6845","","-3.56%"
"04/01/2019","80.5738","81.3608","83.0812","80.3818","","-0.63%"
"03/01/2019","81.0872","81.4165","82.7791","79.9050","","-0.37%"
"02/01/2019","81.3904","80.6301","82.4778","79.4700","","0.82%"
"01/01/2019","80.7252","76.8777","81.6194","76.2729","","5.23%"
"12/01/2018","76.7154","83.5844","84.0406","76.6127","","-7.08%"
"11/01/2018","82.5607","83.2250","85.0658","80.7546","","-0.76%"
"10/01/2018","83.1903","85.2348","87.8955","83.1487","","-2.36%"
"09/01/2018","85.2010","83.6878","85.5742","82.0057","","1.75%"
"08/01/2018","83.7360","85.1465","85.8433","82.0006","","-1.94%"
"07/01/2018","85.3947","87.1867","87.2161","82.2770","","-2.31%"
"06/01/2018","87.4095","90.8270","90.8558","85.8075","","-3.64%"
"05/01/2018","90.7159","89.4821","91.9414","88.8611","","1.25%"
"04/01/2018","89.5930","87.9204","91.2955","85.7230","","2.42%"
"03/01/2018","87.4729","88.1260","89.1999","86.4325","","-0.76%"
"02/01/2018","88.1409","89.6530","90.1056","85.2975","","-1.85%"
"01/01/2018","89.8001","88.2850","91.1723","87.4685","","1.85%"
"12/01/2017","88.1674","85.9018","88.2187","83.3717","","2.88%"
"11/01/2017","85.7033","86.5622","88.2404","85.6366","","-0.56%"
"10/01/2017","86.1882","84.3862","86.3922","83.4233","","2.05%"
"09/01/2017","84.4599","84.6792","86.0718","84.3615","","-0.23%"
"08/01/2017","84.6565","84.4559","84.9759","82.2795","","0.31%"
"07/01/2017","84.3915","82.7692","84.6870","81.6722","","2.17%"
"06/01/2017","82.6017","82.9498","83.0451","79.3459","","-0.27%"
"05/01/2017","82.8292","84.0805","85.4574","81.6728","","-1.41%"
"04/01/2017","84.0128","85.4373","86.4599","83.2345","","-1.57%"
"03/01/2017","85.3508","87.7673","88.3602","83.5633","","-2.72%"
"02/01/2017","87.7388","87.5611","89.4476","86.9535","","0.17%"
"01/01/2017","87.5922","87.3407","89.4727","86.0015","","0.09%"
"12/01/2016","87.5144","86.0589","89.0919","85.8434","","1.76%"
"11/01/2016","86.0015","85.1458","86.4600","81.7879","","1.30%"
"10/01/2016","84.9011","85.2808","87.0755","84.6232","","-0.52%"
"09/01/2016","85.3420","82.9092","86.0463","82.0268","","3.10%"
"08/01/2016","82.7727","84.1692","86.8283","82.4494","","-1.79%"
"07/01/2016","84.2809","89.1615","89.7142","82.8144","","-5.13%"
"06/01/2016","88.8423","85.1260","90.3087","84.6756","","4.11%"
"05/01/2016","85.3383","85.3387","86.0376","81.6697","","-0.21%"
"04/01/2016","85.5205","78.7907","85.7885","76.7958","","8.49%"
"03/01/2016","78.8272","75.7828","81.5700","75.5620","","3.79%"
"02/01/2016","75.9463","76.5692","77.1573","73.7065","","-1.65%"
"01/01/2016","77.2234","78.6714","79.0508","72.3315","","-1.70%"
"12/01/2015","78.5588","81.4159","81.9386","76.1606","","-3.11%"
"11/01/2015","81.0781","87.2331","88.1274","80.1942","","-7.26%"
"10/01/2015","87.4289","88.0630","91.9434","86.4735","","-0.45%"
"09/01/2015","87.8214","90.0607","90.6619","86.8222","","-3.42%"
"08/01/2015","90.9328","91.4864","92.6283","85.1001","","-0.93%"
"07/01/2015","91.7827","102.3480","102.5810","91.6714","","-10.62%"
"06/01/2015","102.6892","100.6221","103.4530","99.0768","","1.73%"
"05/01/2015","100.9465","103.6401","105.9407","99.5219","","-2.70%"
"04/01/2015","103.7471","98.3513","103.8027","98.0407","","5.73%"
